"Peter Damian, Saint",50018008
"Peter Lombard, Bishop of Paris",51797933
Peter Riga,61907230
"Petrarca, Francesco",39382430
Petrus Alfonsi,214980060
"Phalaris, Tyrant of Agrigentum",79118720
"Philes, Manuel",7433097
"Philip II, King of Spain",88973996
"Philoponus, John",98118283
"Photius I, Saint, Patriarch of Constantinople",14775071
"Pico della Mirandola, Giovanni",34491108
"Pinelli, Gian Vincenzo",46885090
"Pirckheimer, Willibald",27173507
"Pius II, Pope",95156138
"Planudes, Maximus",9857802
"Platearius, Matthaeus",14780021
"Plautus, Titus Maccius",66462281
"Polo, Marco",173430120
"Pomerius, Julianus",166549474
"Pontano, Giovanni Gioviano",9919481
"Porcari, Stefano",88761889
"Porzio, Simone",34519123
"Postel, Guillaume",64030773
"Praetorius, Johannes",73900505
"Priuli, Girolamo",68766105
"Priuli, Lorenzo",70644303
"Prodromus, Theodore",84188832
"Propertius, Sextus",100907186
"Psellus, Michael",9856247
"Rabanus Maurus, Archbishop of Mainz",95147534
"Raleigh, Walter, Sir",107533796
"Razzi, Serafino",12570904
"Regiomontanus, Joannes",17261967
"Remigius, Saint, Bishop of Rheims",19816895
"Ripley, George",122334648
"Ruffo, Giordano",19732621
"Rufus, Sextus",79076696
"Rusius, Laurentius",12538697
"Sabadino degli Arienti, Giovanni",44293577
"Sala, Pierre",32094963
Saladino Ferro,79150760
Samuel ben Jehuda ibn Abbas,11986803
"Sanudo, Marino",71431194
"Saunderson, Nicholas",13520055
"Savile, Henry, Sir",100218411
"Savonarola, Michele",121624533
"Scheuchzer, Johann Jakob",49308476
"Scot, Michael",89415245
"Sedacer, Guillaume",71113150
"Sekoundinos, Nikolaos",79117675
"Seneca, Tommaso",29961004
"Sentinus, Jacobus",100222754
"Serenus Sammonicus, Quintus",83157548
"Servetus, Michael",46767173
"Seuse, Heinrich",17218027
"Severianus, Julius",188163525
"Severus, Sulpicius",30332452
"Sidonius Apollinaris, Saint",89203537
"Sigismund, Holy Roman Emperor",88904680
"Silius Italicus, Tiberius Catius",27071645
"Sixtus IV, Pope",37712552
"Sixtus V, Pope",7525513
"Smaragdus, Abbot of St. Mihiel",51698488
"Somer, John",92627133
"Somner, William",71737060
"Sophronius, Saint, Patriarch of Jerusalem",20473427
"Southwell, Robert, Saint",55046
"Spelman, Henry, Sir",5714087
"Spenser, Edmund",100170015
"Speroni, Sperone",17232330
"Sprott, Thomas",53859913
"Strozzi, Piero",40912458
"Strozzi, Tito Vespasiano",66573565
"Symphosius, Caelius Firmianus",14753002
"Tacitus, Cornelius",100226923
"Tarasius, Saint, Patriarch of Constantinople",264242549
"Tasso, Torquato",4936996
"Theodoret, Bishop of Cyrrhus",77111352
"Theodosius I, Emperor of Rome",31978444
"Theodosius II, Emperor of Rome",46929243
"Theodosius, Archbishop of Alexandria",266365730
"Theoleptos, Metropolitan of Philadelphia",64117903
Theophilos Protospatharios,23668767
"Thomas, Apostle, Saint",79398355
"Thynne, Francis",18317699
"Tiberius, Emperor of Rome",89600176
"Tibon, Yehudah ibn",49379706
"Tinctoris, Johannes",100214007
"Torrigiano de Torrigiani, Pietro",26989952
"Tothill, William",64358301
"Traversari, Ambrogio",29617842
"Trevisan, Giovanni",26315009
"Trivet, Nicholas",71433906
"Trogus, Pompeius",54940886
