id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9818,naples,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9817,"arvood,e- RHAGU",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9816,king cliffe-northampton,56702367,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9815,Howell-gloucester,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9814,Millingen j.,3197782,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9813,bowen-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9812,r.willis-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9811,derham-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9810,g.&t.booth-norway,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9809,broster-chester,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9808,CharlesElliot-,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9807,exon,66764657,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9806,"innys,r.manby",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9805,"j. osborn,t.longman",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9804,donaldson-edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9803,"lackington,hughes,,,,,",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9802,"lackington,hughes…..",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9801,gelnitzlugd.bar,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9800,Venice-Italy,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9799,molleri-norinberg,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9798,graevij.gronovi,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9797,ex thucidide-glasgo,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9796,J.manson,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9795,York,,,0,0,0,3,0,10,false,false,true,false,true,(none),"",(none),""
9794,becket & p.a.hondt,121291923,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9793,stratford- ettington,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9792,aylesbury,16190788,,0,0,0,1,0,4,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9791,kelso,45211913,,0,0,0,1,0,16,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9790,lacy -Northampton,156384898,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9789,willson -spence-york,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9788,drewry-derby,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9787,binns-leeds,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9786,ireland,,,0,0,0,1,0,4,false,false,true,false,true,(none),"",(none),""
9785,s tupman,312828619,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9784,pollack,73877992,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9783,Carpac,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9782,glascow,148199699,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9781,PAISLEY,79426950,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9780,r ogle,1730056,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9779,sabbath school union,144734692,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9778,ireland-edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9777,caithness-,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9776,Main,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9775,Nelson,98029748,,0,0,0,1,0,24,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9774,late rev.w.fisher,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9773,mackay-edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9772,itchie-edinburgh,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
